ROLLNO,FIRSTNAME,LASTNAME,DEPARTMENT,PROGRAMME,SEX
21084060,Earle,Towns,ECE,IDD,M
21025004,Irma,Long,CIV,BTech,M
21015002,Phylis,Green,APD,BTech,M
21064054,Bonnie,Curtis,APM,IDD,M
21064057,Joel,Rosenberg,APM,IDD,M
21075013,Mary,Hill,CSE,BTech,F
21094024,Lillian,Myers,EEE,IDD,M
21055026,Elaine,Seawell,PHY,BTech,M
21065062,Jeremy,Gransberry,APM,BTech,F
21035021,Louis,Read,MECH,BTech,M
21044041,Irene,Fornili,CER,IDD,M
21034026,Patrica,Boshart,MECH,IDD,M
21085030,Mildred,Coleman,ECE,BTech,M
21034015,Regina,Murphy,MECH,IDD,F
21094046,Sandra,Seay,EEE,IDD,M
21094080,Susan,Anderson,EEE,IDD,F
21034017,Paul,Miller,MECH,IDD,M
21085067,Josie,Wolter,ECE,BTech,M
21075009,Leon,Steele,CSE,BTech,F
21084108,Louis,Gutierrez,ECE,IDD,M
21065089,Kelly,Hamon,APM,BTech,M
21084034,Jorge,Zurita,ECE,IDD,F
21084130,Pedro,Delucia,ECE,IDD,M
21094111,Anthony,Tilley,EEE,IDD,F
21015036,Helen,Thomas,APD,BTech,M
21045002,Danielle,Robinson,CER,BTech,F
21015018,Margaret,Esqueda,APD,BTech,M
21014037,Daniel,Stevenson,APD,IDD,M
21094047,James,Meyers,EEE,IDD,M
21054030,Christopher,Powell,PHY,IDD,M
21035018,Dorothy,Santelli,MECH,BTech,M
21094142,Heather,Thibodeau,EEE,IDD,F
21064069,Jennie,Leanos,APM,IDD,M
21064037,Coleen,Smith,APM,IDD,M
21035010,Bettie,Knutson,MECH,BTech,M
21014039,Gertrude,Montgomery,APD,IDD,M
21044016,Angel,Rosa,CER,IDD,F
21065093,Lisa,Cruz,APM,BTech,M
21094065,Kevin,Brunette,EEE,IDD,M
21094009,Nellie,Jackson,EEE,IDD,M
21084110,Eleanor,Hamilton,ECE,IDD,F
21065044,Thomas,Carroll,APM,BTech,M
21044001,Eric,Stimpert,CER,IDD,F
21085102,Susan,Watson,ECE,BTech,M
21054016,Heide,Chavez,PHY,IDD,M
21034006,Christine,Spearman,MECH,IDD,F
21085017,Christopher,Bullock,ECE,BTech,M
